Wall time,Step,Value
1687284649.5193403,1000,0.006
1687284649.7522676,2000,0.004
1687284649.985373,3000,0.009
1687284650.2161803,4000,0.017
1687284650.4457855,5000,0.019
1687284650.6770897,6000,0.024
1687284650.920707,7000,0.024
1687284651.1526325,8000,0.04
1687284651.395573,9000,0.065
1687284651.6478865,10000,0.085
1687284651.8875704,11000,0.099
1687284652.1294477,12000,0.105
1687284652.3682873,13000,0.112
1687284652.605405,14000,0.104
1687284652.844803,15000,0.108
1687284653.0852742,16000,0.111
